date,time,account,direction,amount,category,group,merchant,desc
2026-03-24,,UOB บัตรเครดิต,out,90.0,อาหาร/ร้านอาหาร,discretionary,ร้านอาหาร/ตามสั่ง,TMN FAST FOOD BANGKOK
2026-03-24,,UOB บัตรเครดิต,out,157.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-03-24,,UOB บัตรเครดิต,out,220.0,ห้าง/ช้อปปิ้ง,discretionary,436 SCT-I'M CHINA TOWN BANGK,436 SCT-I'M CHINA TOWN BANGKOK
2026-03-24,,UOB บัตรเครดิต,out,951.93,โรงพยาบาล/สุขภาพ,essential,iServiceCCP,TMN ISERVICECCP BANGKOK
2026-03-24,,UOB บัตรเครดิต,out,2916.24,ที่พัก/ท่องเที่ยว,discretionary,Booking.com,Hotel at Booking.com Amsterdam
2026-03-24,,UOB บัตรเครดิต,out,415.0,อาหาร/ร้านอาหาร,discretionary,Yayoi,YAYOI(Y090)-SILOM COMP BANGKOK
2026-03-24,07:31,KBank ออมทรัพย์,out,24.0,ค่าบริการรายวัน (AUD),discretionary,ค่าบริการรายวัน AUD,AUD
2026-03-24,09:21,KBank ออมทรัพย์,out,200.0,โอนเงิน/บุคคล,transfer,อังคนา ปราณีพร,พร้อมเพย์ อังคนา ปราณีพร
2026-03-24,10:51,KBank ออมทรัพย์,out,25.0,คาเฟ่/ขนม,discretionary,Starbucks,STARBUCKS COFFEE
2026-03-24,13:24,KBank ออมทรัพย์,out,130.0,อาหาร/ร้านอาหาร,discretionary,อุดหนุน เพิ่มกะกระเลิน,อุดหนุน เพิ่มกะกระเลิน
2026-03-24,14:56,KBank ออมทรัพย์,out,17.0,เดินทาง/ขนส่ง,essential,BTS/รถไฟฟ้า,BTS TIM TVM
2026-03-24,15:06,KBank ออมทรัพย์,out,28.0,เดินทาง/ขนส่ง,essential,BTS/รถไฟฟ้า,BTS TIM TVM
2026-03-24,16:57,KBank ออมทรัพย์,out,25.0,เดินทาง/ขนส่ง,essential,BTS/รถไฟฟ้า,BTS TIM TVM
2026-03-25,,UOB บัตรเครดิต,out,76.0,ร้านสะดวกซื้อ,essential,7-Eleven,TMN 7-11 BANGKOK
2026-03-25,,UOB บัตรเครดิต,out,121.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-03-25,,UOB บัตรเครดิต,out,850.0,น้ำมัน/ปั๊ม,essential,PTT Station,PTTST.D PETCHPRAKONG BANGKOK
2026-03-25,,UOB บัตรเครดิต,out,1916.0,โรงพยาบาล/สุขภาพ,essential,รพ.กรุงเทพคริสเตียน,BANGKOK CHRISTIAN HOS. BANGKOK
2026-03-25,08:41,KBank ออมทรัพย์,out,30.0,เดินทาง/ขนส่ง,essential,MBC เยาวราช,MBC พีซีซี เยาวราช
2026-03-25,13:59,KBank ออมทรัพย์,out,200.0,โอนเงิน/บุคคล,transfer,ธัญญากรณ์ ปราณ,โอน ธัญญากรณ์ ปราณ
2026-03-26,,UOB บัตรเครดิต,out,35.0,ร้านสะดวกซื้อ,essential,7-Eleven,TMN 7-11 BANGKOK
2026-03-26,,UOB บัตรเครดิต,out,76.0,ร้านสะดวกซื้อ,essential,7-Eleven,TMN 7-11 BANGKOK
2026-03-26,,UOB บัตรเครดิต,out,80.0,อาหาร/ร้านอาหาร,discretionary,ร้านอาหาร/ตามสั่ง,TMN FAST FOOD BANGKOK
2026-03-26,,UOB บัตรเครดิต,out,98.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-03-26,,UOB บัตรเครดิต,out,108.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-03-26,,UOB บัตรเครดิต,out,332.0,ค่าใช้จ่ายอื่น,transfer,HCB00122-SCBK BANGKOK,HCB00122-SCBK BANGKOK
2026-03-26,,UOB บัตรเครดิต,out,517.0,ร้านสะดวกซื้อ,essential,Lotus,TMN LOTUS HYPER BANGKOK
2026-03-27,,UOB บัตรเครดิต,out,63.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-03-28,,UOB บัตรเครดิต,out,12.0,ร้านสะดวกซื้อ,essential,7-Eleven,TMN 7-11 BANGKOK
2026-03-28,,UOB บัตรเครดิต,out,26.0,ร้านสะดวกซื้อ,essential,7-Eleven,TMN 7-11 BANGKOK
2026-03-28,,UOB บัตรเครดิต,out,42.0,ร้านสะดวกซื้อ,essential,7-Eleven,TMN 7-11 BANGKOK
2026-03-28,,UOB บัตรเครดิต,out,92.0,ร้านสะดวกซื้อ,essential,7-Eleven,TMN 7-11 BANGKOK
2026-03-28,,UOB บัตรเครดิต,out,97.0,อาหาร/ร้านอาหาร,discretionary,ร้านอาหาร/ตามสั่ง,TMN FAST FOOD BANGKOK
2026-03-28,,UOB บัตรเครดิต,out,100.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-03-28,,UOB บัตรเครดิต,out,100.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-03-28,,UOB บัตรเครดิต,out,127.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-03-28,,UOB บัตรเครดิต,out,146.0,อาหาร/ร้านอาหาร,discretionary,ร้านอาหาร/ตามสั่ง,TMN FAST FOOD BANGKOK
2026-03-28,,UOB บัตรเครดิต,out,149.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-03-28,,UOB บัตรเครดิต,out,165.0,อาหาร/ร้านอาหาร,discretionary,ร้านอาหาร/ตามสั่ง,TMN FAST FOOD BANGKOK
2026-03-28,,UOB บัตรเครดิต,out,194.0,Grab/เดลิเวอรี่/แท็กซี่,discretionary,Grab,WWW.GRAB.COM BANGKOK
2026-03-28,,UOB บัตรเครดิต,out,314.0,ร้านสะดวกซื้อ,essential,7-Eleven,7-11KRUNGTHEP CHRISTIA BANGRAK BANGR
2026-03-28,,UOB บัตรเครดิต,out,2153.0,โรงพยาบาล/สุขภาพ,essential,รพ.กรุงเทพคริสเตียน,BANGKOK CHRISTIAN HOS. BANGKOK
